"drug_name"	"drugbank_id"	"ind_name"	"ind_id"	"nct"	"status"	"phase"	"detailedstatus"	"drug_obo_id"	"drug_rxnorm_id"	"ind_obo_id"	"ind_meddra_pt"	"ind_snomed_id"
ethinylestradiol	DB00977	Atrophic Vaginitis	C0221392		Approved			CHEBI_4903	"4124"			"52441000"
prednisolone	DB00860	Extrinsic allergic alveolitis	C0002390		Approved			CHEBI_8378	"8638"	HP:0006516	"10081988"	"37471005"
erythromycin ethyl succinate	DB00199	Arthropathy associated with infection	C0157749		Approved			CHEBI_42355	"4053"			"363162000"
epinephrine	DB00668	anaphylaxis	C0002792		Approved			CHEBI_28918	"3992"	HP:0100845	"10002198"	"39579001"
esmolol	DB00187	Perioperative hypertension	C3661921		Approved			CHEBI_88206	"49737"			"434711000124103"
mycophenolate mofetil	DB01024	Aplastic Anemia	C0002874	NCT00354419	Terminated	Phase 1	Low accrual	CHEBI_168396	"7145|265323"	HP:0001915	"10002967"	"304132006"
romiplostim	DB05332	Aplastic Anemia	C0002874		Approved				"805452"	HP:0001915	"10002967"	"304132006"
	DB01008	Aplastic Anemia	C0002874	NCT01500161	Terminated	Phase 2	Insufficient accruals	CHEBI_28901	"1828"	HP:0001915	"10002967"	"304132006"
enocitabine	DB00773	Aplastic Anemia	C0002874	NCT01500161	Terminated	Phase 2	Insufficient accruals	CHEBI_4911	"4179"	HP:0001915	"10002967"	"304132006"
oxymetholone	DB06412	Aplastic Anemia	C0002874		Approved			CHEBI_7864	"7813"	HP:0001915	"10002967"	"304132006"
	DB00531	Aplastic Anemia	C0002874	NCT00578903	Terminated	Phase 2		CHEBI_4027	"1545988|3002"	HP:0001915	"10002967"	"304132006"
	DB01042	Aplastic Anemia	C0002874	NCT01500161	Terminated	Phase 2	Insufficient accruals	CHEBI_28876	"6718"	HP:0001915	"10002967"	"304132006"
alefacept	DB00092	Aplastic Anemia	C0002874	NCT01267643	Terminated	Phase 1	Study drug not available at this time		"299635"	HP:0001915	"10002967"	"304132006"
	DB00987	Aplastic Anemia	C0002874	NCT01500161	Terminated	Phase 2	Insufficient accruals	CHEBI_28680	"3041|968804"	HP:0001915	"10002967"	"304132006"
	DB00864	Aplastic Anemia	C0002874	NCT00578903	Terminated	Phase 2		CHEBI_61049	"42316|235991"	HP:0001915	"10002967"	"304132006"
	DB00631	Aplastic Anemia	C0002874	NCT01500161	Terminated	Phase 2	Insufficient accruals	CHEBI_681569	"44151"	HP:0001915	"10002967"	"304132006"
	DB13144	Aplastic Anemia	C0002874	NCT00354419	Terminated	Phase 1	Low accrual		"70167"	HP:0001915	"10002967"	"304132006"
ethambutol	DB00330	Acute tuberculosis	C0275959		Approved			CHEBI_4877	"4110"			"25629007"
ethionamide	DB00609	Acute tuberculosis	C0275959		Approved			CHEBI_4885	"4127"			"25629007"
estradiol	DB00783	Atrophy of vulva	C0156393		Approved			CHEBI_16469	"4083"	MONDO_0001932		"248861000"
ethotoin	DB00754	Tonic-Clonic Epilepsy	C0014549		Approved			CHEBI_4888	"4136"	MONDO_0005754		
ethotoin	DB00754	Epilepsy characterized by intractable complex partial seizures	C2711653		Approved			CHEBI_4888	"4136"			
famotidine	DB00927	Peptic Esophagitis	C0014869		Approved			CHEBI_4975	"4278"	MONDO_0006896		
ethyl loflazepate	DB01545	Depressive disorder	C0011581		Approved			CHEBI_31573	"24524"	MONDO_0002050		"35489007"
everolimus	DB01590	Breast Carcinoma	C0678222		Approved			CHEBI_68478	"141704"	MONDO_0004989|MONDO_0015870		"254838004"
methotrexate	DB00563	Aplastic Anemia	C0002874	NCT00578903	Terminated	Phase 2		CHEBI_44185	"6851"	HP:0001915	"10002967"	"304132006"
	DB00262	Aplastic Anemia	C0002874	NCT01500161	Terminated	Phase 2	Insufficient accruals	CHEBI_3423	"2105"	HP:0001915	"10002967"	"304132006"
	DB00091	Aplastic Anemia	C0002874	NCT00354419	Terminated	Phase 1	Low accrual	CHEBI_4031	"3008"	HP:0001915	"10002967"	"304132006"
heparin	DB01109	Aplastic Anemia	C0002874	NCT01343680	Terminated	Phase 3	Poor patient accrual	CHEBI_28304	"5224"	HP:0001915	"10002967"	"304132006"
daclizumab	DB00111	Aplastic Anemia	C0002874	NCT00001962	Terminated	Phase 2	DSMB recommended closing the study and publishing the results		"190353"	HP:0001915	"10002967"	"304132006"
	DB00087	Aplastic Anemia	C0002874	NCT00578903	Terminated	Phase 2			"117055"	HP:0001915	"10002967"	"304132006"
everolimus	DB01590	Hormone receptor positive malignant neoplasm of breast	C1562029		Approved			CHEBI_68478	"141704"			"417181009"
	DB00531	Aplastic Anemia	C0002874	NCT00354419	Terminated	Phase 1	Low accrual	CHEBI_4027	"1545988|3002"	HP:0001915	"10002967"	"304132006"
exemestane	DB00990	Hormone receptor positive malignant neoplasm of breast	C1562029		Approved			CHEBI_4953	"258494"			"417181009"
imolamine	DB09284	Angina Pectoris	C0002962		Approved			CHEBI_135072		HP:0001681	"10002383"	"225566008"
mibefradil	DB01388	Angina Pectoris	C0002962		Approved			CHEBI_6920	"83213"	HP:0001681	"10002383"	"225566008"
diltiazem	DB00343	Angina Pectoris	C0002962		Approved			CHEBI_101278	"3443"	HP:0001681	"10002383"	"225566008"
metoprolol	DB00264	Angina Pectoris	C0002962		Approved			CHEBI_6904	"6918"	HP:0001681	"10002383"	"225566008"
molsidomine	DB09282	Angina Pectoris	C0002962		Approved			CHEBI_92623	"7023"	HP:0001681	"10002383"	"225566008"
oxprenolol	DB01580	Angina Pectoris	C0002962		Approved			CHEBI_91704	"7801"	HP:0001681	"10002383"	"225566008"
atenolol	DB00335	Angina Pectoris	C0002962		Approved			CHEBI_2904	"1202"	HP:0001681	"10002383"	"225566008"
atorvastatin	DB01076	Angina Pectoris	C0002962		Approved			CHEBI_39548	"83367"	HP:0001681	"10002383"	"225566008"
propranolol	DB00571	Angina Pectoris	C0002962		Approved			CHEBI_8499	"8787"	HP:0001681	"10002383"	"225566008"
ethionamide	DB00609	Pulmonary Mycobacterium avium complex infection	C2733595		Approved			CHEBI_4885	"4127"			"186342000"
everolimus	DB01590	Angiomyolipoma of kidney	C0241961		Approved			CHEBI_68478	"141704"	MONDO_0004555		"254921004"
ezetimibe	DB00973	Homozygous Familial Hypercholesterolemia	C0342881		Approved			CHEBI_49040	"341248"			"238078005"
ezetimibe	DB00973	Familial hypercholesterolemia - heterozygous	C0342882		Approved			CHEBI_49040	"341248"			"238079002"
famotidine	DB00927	Zollinger-Ellison syndrome	C0043515		Approved			CHEBI_4975	"4278"	MONDO_0019610		"53132006"
fluconazole	DB00196	Septicemia candida	C0349009		Approved			CHEBI_46081	"202813|4450"			
fluocinolone acetonide	DB00591	Lichen Simplex Chronicus	C0149922		Approved			CHEBI_31623	"4461"			"53891004"
fluocinolone acetonide	DB00591	Chronic small plaque psoriasis	C0406317		Approved			CHEBI_31623	"4461"			"200965009"
fluocinolone acetonide	DB00591	Psoriasis of scalp	C0406326		Approved			CHEBI_31623	"4461"			"238608008"
fluconazole	DB00196	Candidemia	C0877445		Approved			CHEBI_46081	"202813|4450"	MONDO_0044070		"432261003"
alizapride	DB01425	Postoperative Nausea and Vomiting	C0520909		Approved			CHEBI_94316	"17311"			"1488000"
fludrocortisone acetate	DB00687	Addison Disease	C0001403		Approved			CHEBI_50885	"4452"	MONDO_0015129	"10001130"	"373662000"
flecainide	DB01195	Paroxysmal atrial flutter	C0741292		Approved			CHEBI_75984	"4441"			"427665004"
tenitramine	DB13637	Angina Pectoris	C0002962		Approved			CHEBI_81292		HP:0001681	"10002383"	"225566008"
bepridil	DB01244	Angina Pectoris	C0002962		Approved			CHEBI_3061	"1436"	HP:0001681	"10002383"	"225566008"
glyceryl trinitrate	DB00727	Angina Pectoris	C0002962		Approved			CHEBI_28787	"4917"	HP:0001681	"10002383"	"225566008"
trimetazidine	DB09069	Angina Pectoris	C0002962		Approved			CHEBI_94789	"10826"	HP:0001681	"10002383"	"225566008"
nifedipine	DB01115	Angina Pectoris	C0002962		Approved			CHEBI_7565	"7417"	HP:0001681	"10002383"	"225566008"
clopidogrel	DB00758	Angina Pectoris	C0002962	NCT00944333	Terminated	Phase 3	STOP due to recent data in literature questioning the need to continue DAP beyond six months in patients with stable coronary artery stenting with DES.	CHEBI_37941	"32968"	HP:0001681	"10002383"	"225566008"
nicorandil	DB09220	Angina Pectoris	C0002962		Approved			CHEBI_31905	"31748"	HP:0001681	"10002383"	"225566008"
nicardipine	DB00622	Angina Pectoris	C0002962		Approved			CHEBI_180905	"7396"	HP:0001681	"10002383"	"225566008"
ranolazine	DB00243	Angina Pectoris	C0002962		Approved			CHEBI_87690	"35829"	HP:0001681	"10002383"	"225566008"
isosorbide dinitrate	DB00883	Angina Pectoris	C0002962		Approved			CHEBI_6061	"6058"	HP:0001681	"10002383"	"225566008"
nadolol	DB01203	Angina Pectoris	C0002962		Approved			CHEBI_7444	"7226"	HP:0001681	"10002383"	"225566008"
isosorbide mononitrate	DB01020	Angina Pectoris	C0002962		Approved			CHEBI_6062	"28004"	HP:0001681	"10002383"	"225566008"
verapamil	DB00661	Angina Pectoris	C0002962		Approved			CHEBI_77733	"11170"	HP:0001681	"10002383"	"225566008"
celiprolol	DB04846	Angina Pectoris	C0002962		Approved			CHEBI_94461	"20498"	HP:0001681	"10002383"	"225566008"
floctafenine	DB08976	Acute onset pain	C0184567		Approved			CHEBI_31612	"4444"			"274663001"
fentanyl	DB00813	Breakthrough cancer pain	C2721580		Approved			CHEBI_119915	"4337"			"879973007"
fludrocortisone acetate	DB00687	Adrenogenital disorder	C0701163		Approved			CHEBI_50885	"4452"			"267395000"
fenoldopam	DB00800	Malignant essential hypertension	C0024588		Approved			CHEBI_5002	"24853"	MONDO_0001133		"78975002"
fentanyl	DB00813	Postoperative Pain, Acute	C2215257		Approved			CHEBI_119915	"4337"			"107401000119105"
fenofibrate	DB01039	Familial hypercholesterolemia - heterozygous	C0342882		Approved			CHEBI_5001	"8703"			"238079002"
fluocinolone acetonide	DB12553	Lichen Simplex Chronicus	C0149922		Approved			CHEBI_5108	"25126"			"53891004"
fluocinolone acetonide	DB12553	Chronic small plaque psoriasis	C0406317		Approved			CHEBI_5108	"25126"			"200965009"
fluocinolone acetonide	DB12553	Psoriasis of scalp	C0406326		Approved			CHEBI_5108	"25126"			"238608008"
fluocinonide	DB01047	Lichen Simplex Chronicus	C0149922		Approved			CHEBI_5109	"4462"			"53891004"
fluocinonide	DB01047	Psoriasis of scalp	C0406326		Approved			CHEBI_5109	"4462"			"238608008"
fluocinonide	DB01047	Chronic small plaque psoriasis	C0406317		Approved			CHEBI_5109	"4462"			"200965009"
fluocinonide	DB12553	Lichen Simplex Chronicus	C0149922		Approved			CHEBI_5108	"25126"			"53891004"
fluocinonide	DB12553	Psoriasis of scalp	C0406326		Approved			CHEBI_5108	"25126"			"238608008"
fluocinonide	DB12553	Chronic small plaque psoriasis	C0406317		Approved			CHEBI_5108	"25126"			"200965009"
fluoxetine	DB00472	Depressive disorder	C0011581		Approved			CHEBI_86990	"4493"	MONDO_0002050		"35489007"
fluocinonide	DB01047	Inflammatory dermatosis	C3875321		Approved			CHEBI_5109	"4462"	MONDO_0002406		"703938007"
fluocinonide	DB12553	Inflammatory dermatosis	C3875321		Approved			CHEBI_5108	"25126"	MONDO_0002406		"703938007"
fluorometholone	DB00324	Punctate keratopathy	C0423234		Approved			CHEBI_31625	"4491"			"246936005"
ofloxacin	DB01165	Anthrax disease	C0003175		Approved			CHEBI_7731	"7623"	MONDO_0005119	"10002713"	"409498004"
amlodipine	DB00381	Angina Pectoris	C0002962		Approved			CHEBI_2668	"17767"	HP:0001681	"10002383"	"225566008"
fluoxymesterone	DB01185	Hormone receptor positive malignant neoplasm of breast	C1562029		Approved			CHEBI_5120	"4494"			"417181009"
fluorometholone	DB00324	Corneal Ulcer	C0010043		Approved			CHEBI_31625	"4491"	MONDO_0004577		"91514001"
fluoxetine	DB00472	Depression, Bipolar	C0005587		Approved			CHEBI_86990	"4493"			"191627008"
fluocinolone acetonide	DB00591	Scurfiness of scalp	C0423775		Approved			CHEBI_31623	"4461"			"200767005"
hydrocortisone	DB00741	Angioedema	C0002994		Approved			CHEBI_17650	"5492"	HP:0100665	"10002424"	"846575004"
betamethasone acetate	DB00443	Angioedema	C0002994		Approved			CHEBI_3077	"1514"	HP:0100665	"10002424"	"846575004"
alimemazine	DB01246	Angioedema	C0002994		Approved			CHEBI_9725	"10825"	HP:0100665	"10002424"	"846575004"
fluocinolone acetonide	DB12553	Scurfiness of scalp	C0423775		Approved			CHEBI_5108	"25126"			"200767005"
dexamethasone	DB01234	Angioedema	C0002994		Approved			CHEBI_41879	"3264"	HP:0100665	"10002424"	"846575004"
hydrocortisone succinate	DB14545	Angioedema	C0002994		Approved			CHEBI_31677	"21651"	HP:0100665	"10002424"	"846575004"
triamcinolone	DB00620	Angioedema	C0002994		Approved			CHEBI_9667	"10759"	HP:0100665	"10002424"	"846575004"
cortisone acetate	DB01380	Angioedema	C0002994		Approved			CHEBI_3897	"21655"	HP:0100665	"10002424"	"846575004"
promazine	DB00420	Angioedema	C0002994		Approved			CHEBI_8459	"8742"	HP:0100665	"10002424"	"846575004"
hydrocortisone succinate	DB00741	Angioedema	C0002994		Approved			CHEBI_17650	"5492"	HP:0100665	"10002424"	"846575004"
betamethasone	DB00443	Angioedema	C0002994		Approved			CHEBI_3077	"1514"	HP:0100665	"10002424"	"846575004"
fludroxycortide	DB00846	Chronic small plaque psoriasis	C0406317		Approved			CHEBI_5127	"4500"			"200965009"
fludroxycortide	DB00846	Psoriasis of scalp	C0406326		Approved			CHEBI_5127	"4500"			"238608008"
fludroxycortide	DB00846	Lichen Simplex Chronicus	C0149922		Approved			CHEBI_5127	"4500"			"53891004"
fluticasone propionate	DB00588	Chronic small plaque psoriasis	C0406317		Approved			CHEBI_31441	"50121"			"200965009"
fluticasone propionate	DB00588	Lichen Simplex Chronicus	C0149922		Approved			CHEBI_31441	"50121"			"53891004"
fluticasone propionate	DB00588	Psoriasis of scalp	C0406326		Approved			CHEBI_31441	"50121"			"238608008"
fluticasone propionate	DB13867	Chronic small plaque psoriasis	C0406317		Approved			CHEBI_5134	"41126"			"200965009"
fluticasone propionate	DB13867	Lichen Simplex Chronicus	C0149922		Approved			CHEBI_5134	"41126"			"53891004"
fluticasone propionate	DB13867	Psoriasis of scalp	C0406326		Approved			CHEBI_5134	"41126"			"238608008"
alprazolam	DB00404	Anxiety	C0003467		Approved			CHEBI_2611	"596"	HP:0000739	"10002855"	"48694002"
midazolam	DB00683	Anxiety	C0003467		Approved			CHEBI_6931	"6960"	HP:0000739	"10002855"	"48694002"
methylphenobarbital	DB00849	Anxiety	C0003467		Approved			CHEBI_6758	"6758"	HP:0000739	"10002855"	"48694002"
midazolam	DB00683	Anxiety	C0003467	NCT00942539	Terminated	Phase 2		CHEBI_6931	"6960"	HP:0000739	"10002855"	"48694002"
diazepam	DB00829	Anxiety	C0003467		Approved			CHEBI_49575	"3322"	HP:0000739	"10002855"	"48694002"
ketamine	DB01221	Anxiety	C0003467	NCT01680172	Terminated	Phase 2	Slow enrollment	CHEBI_6121	"6130"	HP:0000739	"10002855"	"48694002"
chlordiazepoxide	DB00475	Anxiety	C0003467		Approved			CHEBI_3611	"2356"	HP:0000739	"10002855"	"48694002"
oxprenolol	DB01580	Anxiety	C0003467		Approved			CHEBI_91704	"7801"	HP:0000739	"10002855"	"48694002"
trifluoperazine	DB00831	Anxiety	C0003467		Approved			CHEBI_45951	"10800"	HP:0000739	"10002855"	"48694002"
lorazepam	DB00186	Anxiety	C0003467		Approved			CHEBI_6539	"6470"	HP:0000739	"10002855"	"48694002"
chlormezanone	DB01178	Anxiety	C0003467		Approved			CHEBI_3619	"2373"	HP:0000739	"10002855"	"48694002"
cannabidiol	DB09061	Anxiety	C0003467	NCT04267679	Withdrawn	Phase 2	Stopped due to COVID-19 pandemic.	CHEBI_69478	"2045371"	HP:0000739	"10002855"	"48694002"
clorazepate	DB00628	Anxiety	C0003467		Approved			CHEBI_3761	"2353|235408"	HP:0000739	"10002855"	"48694002"
adinazolam	DB00546	Anxiety	C0003467		Approved			CHEBI_251412		HP:0000739	"10002855"	"48694002"
fosphenytoin	DB01320	Epilepsy characterized by intractable complex partial seizures	C2711653		Approved			CHEBI_5165	"72236"			
fusidic acid	DB02703	Furunculosis	C0016867		Approved			CHEBI_29013	"4608|113608"			
fusidic acid	DB02703	Escherichia coli septicemia	C0276088		Approved			CHEBI_29013	"4608|113608"			
leucovorin	DB00650	Anemia, Megaloblastic	C0002888		Approved			CHEBI_15640	"6313"	MONDO_0001700	"10002065"	"53165003"
allopurinol	DB00437	Calcium renal calculus	C1959799		Approved			CHEBI_40279	"519"			"427649000"
fosfomycin	DB00828	Urinary tract infection caused by Escherichia coli	C0577708		Approved			CHEBI_28915	"4550"			"301011002"
allopurinol	DB00437	Uric acid renal calculus	C0558595		Approved			CHEBI_40279	"519"			"274401005"
fomepizole	DB01213	Accidental poisoning by methyl alcohol	C0261439		Approved			CHEBI_5141	"15226"			"216640006"
ajmaline	DB01426	Cardiac Arrhythmia	C0003811		Approved			CHEBI_28462	"423"	HP:0011675	"10003119"	"698247007"
fusidic acid	DB02703	non-gonococcal urethritis (NGU)	C1112709		Approved			CHEBI_29013	"4608|113608"			"84619001"
formestane	DB08905	Malignant epithelial neoplasm of female breast	C3163805		Approved			CHEBI_75172	"15070"			"447782002"
fusidic acid	DB02703	Actinomycosis	C0001261		Approved			CHEBI_29013	"4608|113608"	MONDO_0005631	"10000620"	"11817007"
fusidic acid	DB02703	Anthrax disease	C0003175		Approved			CHEBI_29013	"4608|113608"	MONDO_0005119	"10002713"	"409498004"
fusidic acid	DB02703	Keratoconjunctivitis	C0022573		Approved			CHEBI_29013	"4608|113608"	MONDO_0004768		"88151007"
folic acid	DB00158	Breastfeeding (mother)	C1623040		Approved			CHEBI_27470	"62356|4511|202634"			"413712001"
fluvastatin	DB01095	Arteriosclerosis	C0003850		Approved			CHEBI_38562	"41127"	MONDO_0002277	"10003210"	"72092001"
prazepam	DB01588	Anxiety	C0003467		Approved			CHEBI_8362	"8627"	HP:0000739	"10002855"	"48694002"
formoterol	DB00983	Intrinsic asthma	C0155880		Approved			CHEBI_63082	"25255"	MONDO_0004765		"266361008"
halazepam	DB00801	Anxiety	C0003467		Approved			CHEBI_5603	"26412"	HP:0000739	"10002855"	"48694002"
formoterol	DB00983	Severe chronic obstructive pulmonary disease	C0730607		Approved			CHEBI_63082	"25255"			"313299006"
meprobamate	DB00371	Anxiety	C0003467		Approved			CHEBI_6761	"6760"	HP:0000739	"10002855"	"48694002"
mebicar	DB13522	Anxiety	C0003467		Approved			CHEBI_136038		HP:0000739	"10002855"	"48694002"
fusidic acid	DB02703	Acute gonococcal endometritis	C0153196		Approved			CHEBI_29013	"4608|113608"	MONDO_0004264		"65295003"
fusidic acid	DB02703	Acute gonococcal urethritis	C0275652		Approved			CHEBI_29013	"4608|113608"			"29864006"
formoterol	DB00983	Allergic asthma	C0155877		Approved			CHEBI_63082	"25255"	MONDO_0004784		"389145006"
fusidic acid	DB02703	Sepsis due to Pseudomonas	C2887096		Approved			CHEBI_29013	"4608|113608"			"448813005"
furosemide	DB00695	Decompensated cardiac failure	C0581377		Approved			CHEBI_47426	"4603"			"195111005"
fusidic acid	DB02703	Osteomyelitis due to Staphylococcus aureus	C1997728		Approved			CHEBI_29013	"4608|113608"			"428783003"
acetylsalicylic acid	DB00945	Arthralgia	C0003862		Approved			CHEBI_15365	"91101|1191"	HP:0002829	"10003239"	"57676002"
salicylamide	DB08797	Arthralgia	C0003862		Approved			CHEBI_32114	"9518"	HP:0002829	"10003239"	"57676002"
methyl nicotinate	DB13882	Arthralgia	C0003862		Approved			CHEBI_134761	"29900"	HP:0002829	"10003239"	"57676002"
fusidic acid	DB02703	Bacterial infection due to Klebsiella pneumoniae	C0343402		Approved			CHEBI_29013	"4608|113608"			"186435004"
fusidic acid	DB02703	Acne Vulgaris	C0001144		Approved			CHEBI_29013	"4608|113608"			"88616000"
fusidic acid	DB02703	Infective otitis media	C0729586		Approved			CHEBI_29013	"4608|113608"			"312218008"
