"id"	"chemical_id"	"chemical_name"	"protein_id"	"protein_name"	"relation_name"	"relation_id"	"source"	"dikb_id"	"fda_id"	"drugcentral_id"	"reference"	"year"	"measurement_type"	"measurement_value"
447	CHEBI_8461	prednisolone and promethazine	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			961	WOMBAT-PK	2017	Ki	5.0
448	CHEBI_5118	fluoxetine and psycholeptics	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			499	DRUG MATRIX	2017	IC50	6.0
449	CHEBI_7459	hydromorphone and naloxone	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			947	DRUG MATRIX	2017	IC50	5.0
2400	CHEBI_8426	probenecid	PR_Q96FL8	MATE1	molecularly_interacts_with	RO_0002436	FDA		360		PL	2017		
450	CHEBI_6375	lansoprazole, tetracycline and metronidazole	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			512	DRUG MATRIX	2017	IC50	5.0
451	CHEBI_4636	diphenhydramine, combinations	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			493	WOMBAT-PK	2017	Ki	4.0
452	CHEBI_45409	lopinavir and ritonavir	PR_P08684	Cytochrome P450 3A4	is_substrate_of	DIDEO_00000041	drug_central			646	WOMBAT-PK	2017	IC50	7.0
453	CHEBI_7565	nifedipine, combinations	PR_P05177	Cytochrome P450 1A2	molecularly_interacts_with	RO_0002436	drug_central			729	DRUG MATRIX	2017	IC50	6.0
454	CHEBI_7789	orphenadrine (chloride)	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			526	DRUG MATRIX	2017	IC50	6.0
455	CHEBI_8673	pyrimethamine	PR_P11712	Cytochrome P450 2C9	molecularly_interacts_with	RO_0002436	drug_central			865	WOMBAT-PK	2017	Ki	4.0
456	CHEBI_3238	butenafine	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			899	DRUG MATRIX	2017	IC50	6.0
457	CHEBI_7582	enalapril and nitrendipine	PR_P33261	Cytochrome P450 2C19	molecularly_interacts_with	RO_0002436	drug_central			786	DRUG MATRIX	2017	IC50	5.0
458	CHEBI_47381	diclofenac	PR_O60656	UDP-glucuronosyltransferase 1-9	molecularly_interacts_with	RO_0002436	drug_central			1124	CHEMBL	2017	Ki	4.0
459	CHEBI_47381	diclofenac, combinations	PR_P19224	UDP-glucuronosyltransferase 1-6	molecularly_interacts_with	RO_0002436	drug_central			1118	CHEMBL	2017	Ki	4.0
460	CHEBI_8461	promethazine	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			539	WOMBAT-PK	2017	Ki	5.0
461	CHEBI_7443	nabumetone	PR_P05177	Cytochrome P450 1A2	is_substrate_of	DIDEO_00000041	drug_central			312	DRUG MATRIX	2017	IC50	5.0
462	CHEBI_45980	tacrine	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			980	DRUG MATRIX	2017	IC50	6.0
463	CHEBI_135590	ambroxol	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			888	DRUG MATRIX	2017	IC50	6.0
464	CHEBI_6343	labetalol and thiazides	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			505	DRUG MATRIX	2017	IC50	6.0
465	CHEBI_45285	rifampicin, pyrazinamide, ethambutol and isoniazid	PR_P08684	Cytochrome P450 3A4	molecularly_interacts_with	RO_0002436	drug_central			1071	WOMBAT-PK	2017	IC50	6.0
466	CHEBI_48574	phenylbutazone and corticosteroids	PR_P11712	Cytochrome P450 2C9	molecularly_interacts_with	RO_0002436	drug_central			862	WOMBAT-PK	2017	Ki	4.0
467	CHEBI_6541	losartan and diuretics	PR_P11712	Cytochrome P450 2C9	molecularly_interacts_with	RO_0002436	drug_central			846	DRUG MATRIX	2017	IC50	5.0
468	CHEBI_47519	ketoconazole	PR_Q16850	Cytochrome P450 51	is_substrate_of	DIDEO_00000041	drug_central			678	CHEMBL	2017	Ki	7.0
469	CHEBI_85078	saxagliptin and dapagliflozin	PR_P31639	Sodium/glucose cotransporter 2	molecularly_interacts_with	RO_0002436	drug_central			1137	CHEMBL	2017	EC50	8.0
470	CHEBI_7565	atenolol and nifedipine	PR_P08684	Cytochrome P450 3A4	molecularly_interacts_with	RO_0002436	drug_central			1063	WOMBAT-PK	2017	IC50	5.0
471	CHEBI_3090	bicalutamide	PR_P33261	Cytochrome P450 2C19	is_substrate_of	DIDEO_00000041	drug_central			339	CHEMBL	2017	IC50	6.0
472	CHEBI_47381	diclofenac, combinations	PR_O60656	UDP-glucuronosyltransferase 1-9	molecularly_interacts_with	RO_0002436	drug_central			1126	CHEMBL	2017	Ki	4.0
473	CHEBI_31859	modafinil	PR_P05177	Cytochrome P450 1A2	molecularly_interacts_with	RO_0002436	drug_central			724	WOMBAT-PK	2017	Ki	4.0
474	CHEBI_5693	hexachlorophene	PR_P33261	Cytochrome P450 2C19	is_substrate_of	DIDEO_00000041	drug_central			354	DRUG MATRIX	2017	IC50	5.0
475	CHEBI_5441	glibenclamide	PR_P11712	Cytochrome P450 2C9	is_substrate_of	DIDEO_00000041	drug_central			418	DRUG MATRIX	2017	IC50	5.0
476	CHEBI_24564	altretamine	PR_P05177	Cytochrome P450 1A2	is_substrate_of	DIDEO_00000041	drug_central			301	DRUG MATRIX	2017	IC50	5.0
477	CHEBI_39548	atorvastatin, acetylsalicylic acid and ramipril	PR_P08684	Cytochrome P450 3A4	molecularly_interacts_with	RO_0002436	drug_central			1005	CHEMBL	2017	IC50	5.0
478	CHEBI_6919	mezlocillin	PR_P11712	Cytochrome P450 2C9	molecularly_interacts_with	RO_0002436	drug_central			850	WOMBAT-PK	2017	IC50	4.0
479	CHEBI_9249	stanozolol	PR_P33261	Cytochrome P450 2C19	molecularly_interacts_with	RO_0002436	drug_central			797	DRUG MATRIX	2017	IC50	7.0
480	CHEBI_8081	phentolamine	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			957	DRUG MATRIX	2017	IC50	5.0
481	CHEBI_47519	ketoconazole	PR_P05093	Cytochrome P450 17A1	is_substrate_of	DIDEO_00000041	drug_central			297	CHEMBL	2017	IC50	6.0
482	CHEBI_3215	bupivacaine	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			476	DRUG MATRIX	2017	IC50	6.0
483	CHEBI_39548	atorvastatin and amlodipine	PR_P08684	Cytochrome P450 3A4	is_substrate_of	DIDEO_00000041	drug_central			584	CHEMBL	2017	IC50	5.0
484	CHEBI_6723	megestrol and estrogen	PR_P11712	Cytochrome P450 2C9	is_substrate_of	DIDEO_00000041	drug_central			427	DRUG MATRIX	2017	IC50	5.0
485	CHEBI_37924	atazanavir	PR_P11712	Cytochrome P450 2C9	molecularly_interacts_with	RO_0002436	drug_central			815	WOMBAT-PK	2017	Ki	4.0
486	CHEBI_6690	maprotiline	PR_P08684	Cytochrome P450 3A4	is_substrate_of	DIDEO_00000041	drug_central			626	DRUG MATRIX	2017	IC50	5.0
487	CHEBI_135737	lacidipine	PR_P08684	Cytochrome P450 3A4	molecularly_interacts_with	RO_0002436	drug_central			1051	DRUG MATRIX	2017	IC50	6.0
488	CHEBI_9948	verapamil	PR_Q9UNQ0	ATP-binding cassette sub-family G member 2	molecularly_interacts_with	RO_0002436	drug_central			1132	CHEMBL	2017	EC50	4.0
489	CHEBI_72291	emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat	PR_P08684	Cytochrome P450 3A	molecularly_interacts_with	RO_0002436	drug_central			996	SCIENTIFIC LITERATURE	2017	Ki	6.0
490	CHEBI_6541	losartan and diuretics	PR_P11712	Cytochrome P450 2C9	is_substrate_of	DIDEO_00000041	drug_central			425	DRUG MATRIX	2017	IC50	5.0
491	CHEBI_47519	ketoconazole	PR_Q07973	Cytochrome P450 24A1	is_substrate_of	DIDEO_00000041	drug_central			333	CHEMBL	2017	IC50	4.0
492	CHEBI_50692	mifepristone, combinations	PR_P08684	Cytochrome P450 3A4	molecularly_interacts_with	RO_0002436	drug_central			1059	WOMBAT-PK	2017	Ki	6.0
493	CHEBI_7575	nimodipine	PR_P08684	Cytochrome P450 3A4	is_substrate_of	DIDEO_00000041	drug_central			640	WOMBAT-PK	2017	Ki	6.0
494	CHEBI_18358	methoxsalen	PR_P05177	Cytochrome P450 1A2	is_substrate_of	DIDEO_00000041	drug_central			299	DRUG MATRIX	2017	IC50	7.0
495	CHEBI_7772	omeprazole, amoxicillin and metronidazole	PR_P11712	Cytochrome P450 2C9	is_substrate_of	DIDEO_00000041	drug_central			438	WOMBAT-PK	2017	Ki	4.0
496	CHEBI_64216	metergoline	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			937	DRUG MATRIX	2017	IC50	6.0
497	CHEBI_37924	atazanavir	PR_P22309	UDP-glucuronosyltransferase 1-1	is_substrate_of	DIDEO_00000041	drug_central			680	WOMBAT-PK	2017	Ki	5.0
498	CHEBI_40050	amprenavir	PR_P08684	Cytochrome P450 3A4	is_substrate_of	DIDEO_00000041	drug_central			575	DRUG MATRIX	2017	IC50	6.0
499	CHEBI_3219	bupropion and naltrexone	PR_P33261	Cytochrome P450 2C19	molecularly_interacts_with	RO_0002436	drug_central			757	DRUG MATRIX	2017	IC50	5.0
500	CHEBI_6413	letrozole	PR_P15538	Cytochrome P450 11B1, mitochondrial	is_substrate_of	DIDEO_00000041	drug_central			289	CHEMBL	2017	IC50	5.0
501	CHEBI_9362	suprofen	PR_P11712	Cytochrome P450 2C9	is_substrate_of	DIDEO_00000041	drug_central			456	WOMBAT-PK	2017	Ki	4.0
502	CHEBI_9671	triamterene	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			561	DRUG MATRIX	2017	IC50	5.0
503	CHEBI_9325	sulconazole	PR_P11712	Cytochrome P450 2C9	molecularly_interacts_with	RO_0002436	drug_central			874	DRUG MATRIX	2017	IC50	6.0
504	CHEBI_68639	abiraterone	PR_P19099	Cytochrome P450 11B2, mitochondrial	molecularly_interacts_with	RO_0002436	drug_central			709	CHEMBL	2017	IC50	5.0
505	CHEBI_7825	oxiconazole	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			563	DRUG MATRIX	2017	IC50	6.0
506	CHEBI_68639	abiraterone	PR_P05093	Cytochrome P450 17A1	is_substrate_of	DIDEO_00000041	drug_central			298	CHEMBL	2017	IC50	7.0
507	CHEBI_2611	alprazolam	PR_P08684	Cytochrome P450 3A4	molecularly_interacts_with	RO_0002436	drug_central			997	WOMBAT-PK	2017	Ki	3.0
508	CHEBI_63619	propafenone	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			964	DRUG MATRIX	2017	IC50	5.0
509	CHEBI_45285	pyrazinamide	PR_P20815	Cytochrome P450 3A5	is_substrate_of	DIDEO_00000041	drug_central			675	WOMBAT-PK	2017	IC50	4.0
510	CHEBI_77780	sulfafenazol	PR_P11712	Cytochrome P450 2C9	is_substrate_of	DIDEO_00000041	drug_central			454	DRUG MATRIX	2017	IC50	6.0
511	CHEBI_83305	oritavancin	NCBITaxon_1201292	Enterococcus faecalis ATCC 29212	molecularly_interacts_with	RO_0002436	drug_central			1127	DRUG LABEL	2017	MIC	8.0
512	CHEBI_6030	streptomycin and isoniazid	PR_P20815	Cytochrome P450 3A5	is_substrate_of	DIDEO_00000041	drug_central			673	WOMBAT-PK	2017	IC50	4.0
513	CHEBI_7577	nisoldipine	PR_P05177	Cytochrome P450 1A2	is_substrate_of	DIDEO_00000041	drug_central			316	DRUG MATRIX	2017	IC50	6.0
514	CHEBI_6923	miconazole	PR_P08684	Cytochrome P450 3A4	molecularly_interacts_with	RO_0002436	drug_central			1056	DRUG MATRIX	2017	IC50	7.0
515	CHEBI_6030	rifampicin, pyrazinamide, ethambutol and isoniazid	PR_P08684	Cytochrome P450 3A4	molecularly_interacts_with	RO_0002436	drug_central			1046	WOMBAT-PK	2017	IC50	5.0
516	CHEBI_77069	eperisone	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			918	DRUG MATRIX	2017	IC50	5.0
517	CHEBI_47519	ketoconazole	PR_P22680	Cytochrome P450 7A1	is_substrate_of	DIDEO_00000041	drug_central			679	CHEMBL	2017	IC50	6.0
518	CHEBI_9249	stanozolol	PR_P11712	Cytochrome P450 2C9	is_substrate_of	DIDEO_00000041	drug_central			452	DRUG MATRIX	2017	IC50	5.0
519	CHEBI_5818	hydroxyzine, combinations	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			922	WOMBAT-PK	2017	Ki	5.0
520	CHEBI_8499	propranolol and thiazides	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			967	DRUG MATRIX	2017	IC50	5.0
521	CHEBI_6375	lansoprazole, amoxicillin and clarithromycin	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			507	DRUG MATRIX	2017	IC50	5.0
522	CHEBI_9168	sirolimus	PR_P33261	Cytochrome P450 2C19	molecularly_interacts_with	RO_0002436	drug_central			795	DRUG MATRIX	2017	IC50	5.0
523	CHEBI_8426	probenecid	PR_Q9HAW7	UDP-glucuronosyltransferase 1-7	molecularly_interacts_with	RO_0002436	drug_central			1123	CHEMBL	2017	Ki	4.0
524	CHEBI_7582	enalapril and nitrendipine	PR_P11712	Cytochrome P450 2C9	molecularly_interacts_with	RO_0002436	drug_central			855	DRUG MATRIX	2017	IC50	6.0
525	CHEBI_5818	hydroxyzine, combinations	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			501	WOMBAT-PK	2017	Ki	5.0
526	CHEBI_6030	isoniazid	PR_P20815	Cytochrome P450 3A5	molecularly_interacts_with	RO_0002436	drug_central			1096	WOMBAT-PK	2017	IC50	4.0
527	CHEBI_4636	diphenhydramine, combinations	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			914	WOMBAT-PK	2017	Ki	4.0
528	CHEBI_45409	ombitasvir, paritaprevir and ritonavir	PR_P11712	Cytochrome P450 2C9	is_substrate_of	DIDEO_00000041	drug_central			449	DRUG MATRIX	2017	IC50	7.0
529	CHEBI_6030	ethambutol and isoniazid	PR_P20815	Cytochrome P450 3A5	molecularly_interacts_with	RO_0002436	drug_central			1095	WOMBAT-PK	2017	IC50	4.0
530	CHEBI_31298	bopindolol and other diuretics	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			474	DRUG MATRIX	2017	IC50	5.0
531	CHEBI_7936	paroxetine	PR_P05177	Cytochrome P450 1A2	is_substrate_of	DIDEO_00000041	drug_central			320	WOMBAT-PK	2017	IC50	4.0
532	CHEBI_47381	diclofenac, combinations	PR_P19224	UDP-glucuronosyltransferase 1-6	is_substrate_of	DIDEO_00000041	drug_central			690	CHEMBL	2017	Ki	4.0
533	CHEBI_47519	ketoconazole	PR_P05108	Cytochrome P450 11A1	molecularly_interacts_with	RO_0002436	drug_central			699	CHEMBL	2017	IC50	5.0
534	CHEBI_7550	nicardipine	PR_P11712	Cytochrome P450 2C9	molecularly_interacts_with	RO_0002436	drug_central			853	WOMBAT-PK	2017	IC50	6.0
535	CHEBI_6030	rifampicin, pyrazinamide and isoniazid	PR_P20815	Cytochrome P450 3A5	is_substrate_of	DIDEO_00000041	drug_central			671	WOMBAT-PK	2017	IC50	4.0
536	CHEBI_127342	atomoxetine	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			470	WOMBAT-PK	2017	Ki	4.0
537	CHEBI_8499	propranolol and thiazides	PR_P05177	Cytochrome P450 1A2	is_substrate_of	DIDEO_00000041	drug_central			327	DRUG MATRIX	2017	IC50	5.0
538	CHEBI_3545	cefapirin	PR_P08684	Cytochrome P450 3A4	is_substrate_of	DIDEO_00000041	drug_central			590	WOMBAT-PK	2017	IC50	5.0
539	CHEBI_2611	alprazolam	PR_P08684	Cytochrome P450 3A4	is_substrate_of	DIDEO_00000041	drug_central			573	WOMBAT-PK	2017	Ki	3.0
540	CHEBI_77780	sulfaphenazole	PR_P11712	Cytochrome P450 2C9	is_substrate_of	DIDEO_00000041	drug_central			455	DRUG MATRIX	2017	IC50	6.0
541	CHEBI_3994	cyclizine	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			490	DRUG MATRIX	2017	IC50	5.0
542	CHEBI_6030	thioacetazone and isoniazid	PR_P20815	Cytochrome P450 3A5	molecularly_interacts_with	RO_0002436	drug_central			1102	WOMBAT-PK	2017	IC50	4.0
543	CHEBI_63632	topotecan	PR_P08684	Cytochrome P450 3A4	molecularly_interacts_with	RO_0002436	drug_central			1080	DRUG MATRIX	2017	IC50	5.0
544	CHEBI_6375	lansoprazole, combinations	PR_P33261	Cytochrome P450 2C19	molecularly_interacts_with	RO_0002436	drug_central			777	DRUG MATRIX	2017	IC50	6.0
545	CHEBI_7565	nifedipine and diuretics	PR_P05177	Cytochrome P450 1A2	molecularly_interacts_with	RO_0002436	drug_central			728	DRUG MATRIX	2017	IC50	6.0
546	CHEBI_45285	pyrazinamide	PR_P08684	Cytochrome P450 3A4	is_substrate_of	DIDEO_00000041	drug_central			642	WOMBAT-PK	2017	IC50	6.0
547	CHEBI_31687	idebenone	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			923	DRUG MATRIX	2017	IC50	5.0
548	CHEBI_48574	phenylbutazone	PR_P11712	Cytochrome P450 2C9	is_substrate_of	DIDEO_00000041	drug_central			440	WOMBAT-PK	2017	Ki	4.0
549	CHEBI_4659	disulfiram, combinations	PR_P05177	Cytochrome P450 1A2	molecularly_interacts_with	RO_0002436	drug_central			718	DRUG MATRIX	2017	IC50	5.0
550	CHEBI_4562	dihydroergotamine, combinations	PR_P08684	Cytochrome P450 3A4	molecularly_interacts_with	RO_0002436	drug_central			1027	DRUG MATRIX	2017	IC50	5.0
551	CHEBI_32215	thiamphenicol	PR_P33261	Cytochrome P450 2C19	molecularly_interacts_with	RO_0002436	drug_central			799	WOMBAT-PK	2017	IC50	5.0
552	CHEBI_6030	rifampicin, pyrazinamide, ethambutol and isoniazid	PR_P20815	Cytochrome P450 3A5	is_substrate_of	DIDEO_00000041	drug_central			672	WOMBAT-PK	2017	IC50	4.0
553	CHEBI_7772	omeprazole	PR_P33261	Cytochrome P450 2C19	is_substrate_of	DIDEO_00000041	drug_central			374	WOMBAT-PK	2017	Ki	5.0
554	CHEBI_6923	miconazole	PR_P33261	Cytochrome P450 2C19	is_substrate_of	DIDEO_00000041	drug_central			368	DRUG MATRIX	2017	IC50	7.0
555	CHEBI_47381	diclofenac	PR_O60656	UDP-glucuronosyltransferase 1-9	is_substrate_of	DIDEO_00000041	drug_central			696	CHEMBL	2017	Ki	4.0
556	CHEBI_8060	phenelzine	PR_P11712	Cytochrome P450 2C9	is_substrate_of	DIDEO_00000041	drug_central			439	DRUG MATRIX	2017	IC50	5.0
557	CHEBI_46081	azithromycin, fluconazole and secnidazole	PR_P08684	Cytochrome P450 3A4	molecularly_interacts_with	RO_0002436	drug_central			1037	CHEMBL	2017	IC50	5.0
558	CHEBI_8499	propranolol and thiazides	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			544	DRUG MATRIX	2017	IC50	5.0
559	CHEBI_6690	maprotiline	PR_P08684	Cytochrome P450 3A4	molecularly_interacts_with	RO_0002436	drug_central			1052	DRUG MATRIX	2017	IC50	5.0
560	CHEBI_4513	dicoumarol	PR_P11712	Cytochrome P450 2C9	molecularly_interacts_with	RO_0002436	drug_central			826	WOMBAT-PK	2017	Ki	5.0
561	CHEBI_47519	ketoconazole	PR_Q07973	Cytochrome P450 24A1	molecularly_interacts_with	RO_0002436	drug_central			748	CHEMBL	2017	IC50	4.0
562	CHEBI_7789	orphenadrine, combinations	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			951	DRUG MATRIX	2017	IC50	6.0
563	CHEBI_4910	etomidate	PR_P15538	Cytochrome P450 11B1, mitochondrial	molecularly_interacts_with	RO_0002436	drug_central			700	CHEMBL	2017	IC50	9.0
564	CHEBI_32215	thiamphenicol, combinations	PR_P33261	Cytochrome P450 2C19	molecularly_interacts_with	RO_0002436	drug_central			800	WOMBAT-PK	2017	IC50	5.0
565	CHEBI_9448	terbinafine	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			981	DRUG MATRIX	2017	IC50	6.0
566	CHEBI_5062	alfuzosin and finasteride	PR_P11712	Cytochrome P450 2C9	is_substrate_of	DIDEO_00000041	drug_central			412	DRUG MATRIX	2017	IC50	5.0
567	CHEBI_6375	lansoprazole, amoxicillin and metronidazole	PR_P33261	Cytochrome P450 2C19	is_substrate_of	DIDEO_00000041	drug_central			360	DRUG MATRIX	2017	IC50	6.0
568	CHEBI_5062	alfuzosin and finasteride	PR_P33261	Cytochrome P450 2C19	is_substrate_of	DIDEO_00000041	drug_central			348	DRUG MATRIX	2017	IC50	6.0
569	CHEBI_44241	metyrapone	PR_P19099	Cytochrome P450 11B2, mitochondrial	molecularly_interacts_with	RO_0002436	drug_central			708	CHEMBL	2017	IC50	7.0
570	CHEBI_7575	nimodipine	PR_P08684	Cytochrome P450 3A4	molecularly_interacts_with	RO_0002436	drug_central			1067	WOMBAT-PK	2017	Ki	6.0
571	CHEBI_6923	miconazole, combinations	PR_P33261	Cytochrome P450 2C19	is_substrate_of	DIDEO_00000041	drug_central			369	DRUG MATRIX	2017	IC50	7.0
572	CHEBI_31298	bopindolol	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			894	DRUG MATRIX	2017	IC50	5.0
573	CHEBI_10023	voriconazole	PR_P08684	Cytochrome P450 3A4	is_substrate_of	DIDEO_00000041	drug_central			658	CHEMBL	2017	IC50	4.0
574	CHEBI_10093	yohimbine	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			987	DRUG MATRIX	2017	IC50	5.0
575	CHEBI_64318	ergotamine	PR_P08684	Cytochrome P450 3A4	is_substrate_of	DIDEO_00000041	drug_central			605	DRUG MATRIX	2017	IC50	6.0
576	CHEBI_9325	sulconazole	PR_P05177	Cytochrome P450 1A2	molecularly_interacts_with	RO_0002436	drug_central			742	DRUG MATRIX	2017	IC50	6.0
577	CHEBI_6030	isoniazid, combinations	PR_P08684	Cytochrome P450 3A4	molecularly_interacts_with	RO_0002436	drug_central			1043	WOMBAT-PK	2017	IC50	5.0
578	CHEBI_6375	lansoprazole, amoxicillin and metronidazole	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			930	DRUG MATRIX	2017	IC50	5.0
579	CHEBI_5693	hexachlorophene	PR_P33261	Cytochrome P450 2C19	molecularly_interacts_with	RO_0002436	drug_central			769	DRUG MATRIX	2017	IC50	5.0
580	CHEBI_2675	amoxapine	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			467	DRUG MATRIX	2017	IC50	5.0
581	CHEBI_45409	lopinavir and ritonavir	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			974	DRUG MATRIX	2017	IC50	4.0
582	CHEBI_72291	emtricitabine, tenofovir alafenamide, elvitegravir and cobicistat	PR_P08684	Cytochrome P450 3A	molecularly_interacts_with	RO_0002436	drug_central			995	SCIENTIFIC LITERATURE	2017	Ki	6.0
583	CHEBI_6343	labetalol and other diuretics	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			925	DRUG MATRIX	2017	IC50	6.0
584	CHEBI_52717	bortezomib	PR_P33261	Cytochrome P450 2C19	molecularly_interacts_with	RO_0002436	drug_central			755	WOMBAT-PK	2017	Ki	4.0
585	CHEBI_9566	thioridazine	PR_P10635	Cytochrome P450 2D6	is_substrate_of	DIDEO_00000041	drug_central			559	DRUG MATRIX	2017	IC50	5.0
586	CHEBI_37924	atazanavir	PR_P22309	UDP-glucuronosyltransferase 1-1	molecularly_interacts_with	RO_0002436	drug_central			1108	WOMBAT-PK	2017	Ki	5.0
587	CHEBI_3215	bupivacaine, combinations	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			898	DRUG MATRIX	2017	IC50	6.0
588	CHEBI_3023	benzbromarone	PR_P11712	Cytochrome P450 2C9	molecularly_interacts_with	RO_0002436	drug_central			817	DRUG MATRIX	2017	IC50	7.0
589	CHEBI_4877	ethambutol	PR_P08684	Cytochrome P450 3A4	is_substrate_of	DIDEO_00000041	drug_central			608	WOMBAT-PK	2017	IC50	6.0
590	CHEBI_6923	miconazole	PR_P08684	Cytochrome P450 3A4	is_substrate_of	DIDEO_00000041	drug_central			630	DRUG MATRIX	2017	IC50	7.0
591	CHEBI_132922	oxycodone and ibuprofen	PR_P11712	Cytochrome P450 2C9	molecularly_interacts_with	RO_0002436	drug_central			841	WOMBAT-PK	2017	Ki	4.0
592	CHEBI_6923	miconazole, combinations	PR_P08684	Cytochrome P450 3A4	is_substrate_of	DIDEO_00000041	drug_central			631	DRUG MATRIX	2017	IC50	7.0
